Categoria,Contrato,Modelo Titular,Operação ,Cadastro - Logistics,Cadastro como Deveria Ser,Modo de carga,Placa,Ultimo BIPE,Dias Sem BIPE,Cadastro,Valor Diária,Energia,STATUS DO FORMS,STATUS DO VEÍCULO,MOTIVO DA MANUTENÇÃO,DESCRIÇÃO DO PROBLEMA (+ recente),ATUALIZAÇÕES,STATUS GEOTAB,Ultima Localização,Nº DE SERIE GEOTAB,Ultima Localização,Horário,Oficina,Contato ,Previsão Desmobilização,TICKET MANUTENÇÃO ROTAGYN,Estacionamentos - veículos em manutenção,Devolução,Representante da Basepex,Data devolução,FORMS
Van Elétrica,Arval,JAC 5.5,SSP18,Van Elétrica JV,Van Elétrica JV,CAAS - Ezvolt - Jundiaí,TAO1A63,08/08/2026,3,Van Elétrica JV,"R$ 774,00","R$ 34,00",FOLGA,ATIVO,-,-,,OK,"Av. Quatorze de Dezembro, 3060 - Vila Francisco Eber, Jundiaí - SP, 13206-105, Brasil",G9X4CS8T3D3Z,03/08/2026,19:04:18,-,-,10/ago./26,,,PENDENTE,,,NÃO
Large Van Elétrica,Localiza,E-Transit,SSP18,Large Van Elétrica - Equipe Única - Localiza,Large Van Elétrica - Equipe Única - Localiza,CAAS - Ezvolt - Jundiaí,TAR1I87,07/08/2026,4,Large Van Elétrica - Equipe Única - Localiza,"R$ 1.033,00","R$ 39,00",FOLGA,ATIVO,-,-,,OK,"Av. Antônio Frederico Ozanan, 11100 - Distrito Industrial, Jundiaí - SP, 13213-100, Brasil",G92003Z84N5P,03/08/2026,18:24:19,-,-,10/ago./26,,,PENDENTE,,,NÃO
Van Elétrica,Arval,JAC 5.5,SSP18,Van Elétrica JV,Van Elétrica JV,CAAS - Ezvolt - Jundiaí,TAO0J43,06/06/2026,66,Van Elétrica JV,"R$ 774,00","R$ 34,00",MANUTENÇÃO,INDISPONÍVEL,Van não carrega 100%,Van não esta completando carga de 100%,04/08 veículo parado na JAC MOTORS LIMÃO,Offline,"Av. Eng. Caetano Álvares, 334 - Limão, São Paulo - SP, 02520-310, Brasil",G97AS18W6Y8J,22/07/2026,18:32:36,JAC LIMÃO ,112344-2000,a confirmar (Basepex),NÃO POSSUI,"Av. Eng. Caetano Álvares, 200 - Limão, São Paulo - SP, 02520-310",PENDENTE,,,NÃO
Van Elétrica,Arval,JAC 5.5,SSP18,Van Elétrica JV,Van Elétrica JV,Infra Interna,TAO1A67,10/06/2026,62,Van Elétrica JV,"R$ 774,00","R$ 34,00",MANUTENÇÃO,INDISPONÍVEL,Retrovisor,Falta do espelho do retrovisor ,04/08 veículo parado dentro do service center de jundiaí ssp18,Offline,"Av. Quatorze de Dezembro, 2176 - Jardim Cidapel, Jundiaí - SP, 13206-105, Brasil",G93FWFCEMA9P,26/07/2026,20:07:15,-,-,a confirmar (Basepex),NÃO POSSUI,"Av. Antônio Frederico Ozanan, 11000 - Distrito Industrial, Jundiaí - SP, 13213-030, Brasil",PENDENTE,,,NÃO
Large Van Elétrica,EVM,JAC E-JV12,SSP18,Large Van Eletrica J750,Large Van Eletrica J750,CAAS - Ezvolt - Jundiaí,TAT1A74,29/07/2026,13,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",MANUTENÇÃO,INDISPONÍVEL,Carro perdeu o freio,Carro perdeu o freio e desceu a rua batendo em portão de residência ,04/08 veículo parado na Estação de carregamento EZVolt,Offline,"Av. Quatorze de Dezembro, 3060 - Vila Francisco Eber, Jundiaí - SP, 13206-105, Brasil",G9REJZJMR0JS,30/07/2026,15:09:51,-,-,a confirmar (Basepex),NÃO POSSUI,"Av. Quatorze de Dezembro, 3200 - Vila Francisco Eber, Jundiaí - SP, 13206-105",PENDENTE,,,NÃO
Large Van Elétrica,Localiza,E-Transit,SSP18,Large Van Elétrica - Equipe Única - Localiza,Large Van Elétrica - Equipe Única - Localiza,CAAS - Ezvolt - Jundiaí (Temporário),TAR1I76,29/07/2026,13,Large Van Elétrica - Equipe Única - Localiza,"R$ 1.033,00","R$ 39,00",MANUTENÇÃO,INDISPONÍVEL,Porta láteral não fecha,porta lateral nao fecha,04/08 veículo parado na Estação de carregamento EZVolt,Offline,"Av. Quatorze de Dezembro, 3060 - Vila Francisco Eber, Jundiaí - SP, 13206-105, Brasil",G9YR52VT6KXD,29/07/2026,22:31:06,FORD MIX ALPHAVILLE ,(11) 4166-7800,a confirmar (Basepex),SOLICITADO  29/07/2026  / SEM RETORNO GEOTAB,"Av. Quatorze de Dezembro, 3200 - Vila Francisco Eber, Jundiaí - SP, 13206-105",PENDENTE,,,NÃO
Large Van Elétrica,Localiza,E-Transit,SSP18,Large Van Elétrica - Equipe Única - Localiza,Large Van Elétrica - Equipe Única - Localiza,CAAS - Ezvolt - Jundiaí,TAR1I64,12/06/2026,60,Large Van Elétrica - Equipe Única - Localiza,"R$ 1.033,00","R$ 39,00",MANUTENÇÃO,INDISPONÍVEL,Porta saiu do trilho,"Porta lateral saiu do trilho, está desalinhada e a porta do passageiro não fecha por conta da porta lateral ",04/08 veículo parado na Estação de carregamento EZVolt,OK,"Av. Quatorze de Dezembro, 3100 - Vila Francisco Eber, Jundiaí - SP, 13206-105, Brasil",G95P0VC2EBAR,03/08/2026,18:41:31,MARPOL,11 98929-5516,a confirmar (Basepex),,"Av. Quatorze de Dezembro, 3200 - Vila Francisco Eber, Jundiaí - SP, 13206-105",PENDENTE,,,NÃO
Large Van Elétrica,EVM,JAC E-JV12,SSP18,Large Van Eletrica J750,Large Van Eletrica J750,CAAS - Ezvolt - Jundiaí,TAS9D48,28/06/2026,44,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",MANUTENÇÃO,INDISPONÍVEL,"Camera de ré, barulho roda esquerda","Camera de ré não está funcionando, roda lado esquerdo com barulho  - Pneu furado ",04/08 veículo parado na Estação de carregamento EZVolt,OK,"Av. Quatorze de Dezembro, 3060 - Vila Francisco Eber, Jundiaí - SP, 13206-105, Brasil",G98ZYNDC4JBT,03/08/2026,18:47:23,-,-,a confirmar (Basepex),,"Av. Quatorze de Dezembro, 3200 - Vila Francisco Eber, Jundiaí - SP, 13206-105",PENDENTE,,,NÃO
Van Elétrica,Arval,JAC 5.5,SSP18,Van Elétrica JV,Van Elétrica JV,Infra MLP,TAO0J47,03/07/2026,39,Van Elétrica JV,"R$ 774,00","R$ 34,00",MANUTENÇÃO,INDISPONÍVEL,Porta saiu do trilho,"Porta saiu do trilho, não consegue mais fechar ",04/08 veículo parado na oficina Marpol em Jundiaí,OK,"Av. Mitsuzo Kondo, 151 - Distrito Industrial, Jundiaí - SP, 13213-005, Brasil",G98W2U71TTTC,03/08/2026,18:44:45,MARPOL,11 98929-5516,a confirmar (Basepex),,"Rua Dom Gabriel Paulino Bueno Couto, 500 – Distrito Industrial – Jundiaí – São Paulo",PENDENTE,,,NÃO
Large Van Elétrica,EVM,JAC E-JV12,SSP18,Large Van Eletrica J750,Large Van Eletrica J750,CAAS - Ezvolt - Jundiaí,TAS9D66,19/07/2026,23,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",MANUTENÇÃO,INDISPONÍVEL,Maçaneta da porta traseira quebrada,"Maçaneta porta traseira está quebrada, colocamos um adaptador, porém não está dando certo, acaba machucando a mão do driver e sai toda hora ",04/08 veículo parado na Estação de carregamento EZVolt,OK,"Av. Quatorze de Dezembro, 2244 - Jardim Cidapel, Jundiaí - SP, 13206-105, Brasil",G9AH3MJX9D7J,03/08/2026,16:56:44,SOLICITADO EVM ,-,a confirmar (Basepex),,"Av. Quatorze de Dezembro, 3200 - Vila Francisco Eber, Jundiaí - SP, 13206-105",PENDENTE,,,NÃO
Large Van Elétrica,Localiza,E-Transit,SSP18,Large Van Elétrica - Equipe Única - Localiza,Large Van Elétrica - Equipe Única - Localiza,CAAS - Ezvolt - Jundiaí,TAR1I99,25/07/2026,17,Large Van Elétrica - Equipe Única - Localiza,"R$ 1.033,00","R$ 39,00",MANUTENÇÃO,INDISPONÍVEL,Troca pastilhas de freio,Troca pastilhas de freio ,04/08 veículo parado na Estação de carregamento EZVolt,OK,"Av. Quatorze de Dezembro, 3060 - Vila Francisco Eber, Jundiaí - SP, 13206-105, Brasil",G9A7K2PH751R,03/08/2026,16:33:50,SM MAIS / ORIENTAL,-,a confirmar (Basepex),,"Av. Quatorze de Dezembro, 3200 - Vila Francisco Eber, Jundiaí - SP, 13206-105",PENDENTE,,,NÃO
Large Van Elétrica,EVM,JAC E-JV12,SSP18,Large Van Eletrica J750,Large Van Eletrica J750,CAAS - Ezvolt - Jundiaí,TAT1A85,28/07/2026,14,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",MANUTENÇÃO,INDISPONÍVEL,Troca pastilhas de freio,Pastilha de freio ,04/08 veículo parado na Estação de carregamento EZVolt,OK,"Av. Quatorze de Dezembro, 3060 - Vila Francisco Eber, Jundiaí - SP, 13206-105, Brasil",G92227FFW1R9,03/08/2026,13:54:05,MARPOL,11 98929-5516,a confirmar (Basepex),,"Av. Quatorze de Dezembro, 3200 - Vila Francisco Eber, Jundiaí - SP, 13206-105",PENDENTE,,,NÃO
Van Elétrica,Arval,JAC 5.5,SSP18,Van Elétrica JV,Van Elétrica JV,Infra MLP,TAO0J48,28/07/2026,14,Van Elétrica JV,"R$ 774,00","R$ 34,00",MANUTENÇÃO,INDISPONÍVEL,Porta lateral não abre,Porta lateral não abre,04/08 veículo parado na Estação de carregamento EZVolt,OK,"Av. Quatorze de Dezembro, 3060 - Vila Francisco Eber, Jundiaí - SP, 13206-105, Brasil",G9BUZ91J1AE0,03/08/2026,14:54:24,MARPOL,11 98929-5516,a confirmar (Basepex),,"Av. Quatorze de Dezembro, 3200 - Vila Francisco Eber, Jundiaí - SP, 13206-105",PENDENTE,,,NÃO
Van Elétrica,Arval,JAC 5.5,SSP18,Van Elétrica JV,Van Elétrica JV,Infra Interna,TAO0J40,30/07/2026,12,Van Elétrica JV,"R$ 774,00","R$ 34,00",MANUTENÇÃO,INDISPONÍVEL,Van não carrega 100% ,Van não carrega 100% ,04/08 veículo parado na Estação de carregamento EZVolt,OK,"Av. Quatorze de Dezembro, 3060 - Vila Francisco Eber, Jundiaí - SP, 13206-105, Brasil",G9DK77CRK3N7,03/08/2026,18:22:36,MARPOL,11 98929-5516,a confirmar (Basepex),,"Av. Antônio Frederico Ozanan, 11100 - Distrito Industrial, Jundiaí - SP, 13213-100, Brasil",PENDENTE,,,NÃO
Large Van Elétrica,EVM,JAC E-JV12,SSP18,Large Van Eletrica J750,Large Van Eletrica J750,CAAS - Ezvolt - Jundiaí,TAS9D75,31/07/2026,11,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",MANUTENÇÃO,INDISPONÍVEL,"Barulho muito forte na roda lado motorista, com vazamento de óleo aparentemente é amortecedor ","Barulho mt forte na roda lado motorista, com vazamento de óleo aparentemente é amortecedor ",04/08 veículo parado na Estação de carregamento EZVolt,OK,"Av. Quatorze de Dezembro, 3060 - Vila Francisco Eber, Jundiaí - SP, 13206-105, Brasil",G9HZM66D132X,03/08/2026,18:55:49,-,-,a confirmar (Basepex),,"Av. Quatorze de Dezembro, 3200 - Vila Francisco Eber, Jundiaí - SP, 13206-105",PENDENTE,,,NÃO
Van Elétrica,Arval,JAC 5.5,SSP18,Van Elétrica JV,Van Elétrica JV,Infra MLP,TAO1A59,01/08/2026,10,Van Elétrica JV,"R$ 774,00","R$ 34,00",MANUTENÇÃO,INDISPONÍVEL,"Sem freio, não está segurando",Freio fazendo barulho e já não segura mais ,04/08 veículo parado na Estação de carregamento EZVolt,OK,"Av. Quatorze de Dezembro, 2176 - Jardim Cidapel, Jundiaí - SP, 13206-105, Brasil",G9157XRE74RY,03/08/2026,19:04:27,OFICINA REVISA ,(11) 4815-7633,a confirmar (Basepex),,"Av. Quatorze de Dezembro, 3200 - Vila Francisco Eber, Jundiaí - SP, 13206-105",PENDENTE,,,NÃO
Large Van Elétrica,EVM,JAC E-JV12,SSP20,Large Van Eletrica J750,Large Van Eletrica J750,CAAS - Ezvolt - Sorocaba,TAU2C14,28/05/2026,75,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",MANUTENÇÃO,INDISPONÍVEL,"Amortecedores e maçaneta, bateria ","amortecedores e maçaneta, bateria ",recobramos no e-mail 14/04/26; retorno evm Aguardando chegada de peça - chegará em 22/04 | 04/08 veículo paradado na Estação de recarga da EZVolt,Offline,"Av. Fernando Stecca, 895 - Iporanga, Sorocaba - SP, 18087-149, Brasil",G9226PMK4VUN,18/06/2026,21:10:36,-,-,a confirmar (Basepex),NÃO POSSUI,"Av. Fernando Stecca, 905 - IporangaSorocaba - SP, 18087-149",OK,NÃO,10/08/2026,SIM
Utilitário Elétrico,Localiza,Kangoo Z.E. MAXI 2 Lugares 2P,SSP20,E-Utilitário Last Mile,E-Utilitário Last Mile,Portatil,SDQ2A88,07/08/2026,4,E-Utilitário Last Mile,"R$ 583,00","R$ 26,00",RODOU,ATIVO,-,-,,Offline,"Rua Ademir Alegre, 247 - Wanel Ville, Sorocaba - SP, 18055-024, Brasil",G9KNFM7077R2,04/04/2026,09:51:34,-,-,10/ago./26,41696,,OK,NÃO,10/08/2026,SIM
Utilitário Elétrico,Localiza,Kangoo Z.E. MAXI 2 Lugares 2P,SSP20,E-Utilitário Last Mile,E-Utilitário Last Mile,Portatil,SDQ2A85,06/08/2026,5,E-Utilitário Last Mile,"R$ 583,00","R$ 26,00",RODOU,ATIVO,-,-,,OK,"R. Borba Gato, 11 - George Oetterer, Iperó - SP, 18560-000, Brasil",G95MUH5E17WP,03/08/2026,19:04:30,-,-,10/ago./26,,,OK,NÃO,10/08/2026,SIM
Large Van Elétrica,EVM,JAC E-JV12,SSP20,Large Van Eletrica J750,Large Van Eletrica J750,CAAS - Ezvolt - Sorocaba,TAU2C18,07/08/2026,4,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",RODOU,ATIVO,-,-,,OK,"Av. São Paulo, 81 - Vila Senger, Sorocaba - SP, 18013-000, Brasil",G93Z9XUE2SAZ,03/08/2026,19:07:40,-,-,10/ago./26,,,OK,NÃO,10/08/2026,SIM
Large Van Elétrica,EVM,JAC E-JV12,SSP20,Large Van Eletrica J750,Large Van Eletrica J750,CAAS - Ezvolt - Sorocaba,TAU2C16,08/08/2026,3,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",MANUTENÇÃO,INDISPONÍVEL,"Troca das fechaduras, porta traseira só abre por dentro","Troca das fechaduras, porta traseira só abre por dentro e porta lateral começando a apresentar problemas",27/07/2026 - veiculo retirado esta no estacionamento | 04/08 veículo parado na Estação de recarga da EZVolt,OK,"Av. Fernando Stecca, 895 - Iporanga, Sorocaba - SP, 18087-149, Brasil",G993XD84EZVZ,03/08/2026,18:41:51,MACRON,(15) 3525-1826,a confirmar (Basepex),,"Av. Fernando Stecca, 905 - IporangaSorocaba - SP, 18087-149",OK,NÃO,10/08/2026,SIM
Large Van Elétrica,EVM,JAC E-JV12,SSP20,Large Van Eletrica J750,Large Van Eletrica J750,CAAS - Ezvolt - Sorocaba,TAU2F67,30/06/2026,42,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",MANUTENÇÃO,INDISPONÍVEL,"Erro no ABS, retrovisor lado direito travado e freios",Espelho retrovisor quebrado,04/08 veículo parado na Estação de recarga da EZVolt,OK,"R. Luísa Mas, 1 - Jardim Leocadia, Sorocaba - SP, 18085-700, Brasil",G935B177YMV0,03/08/2026,13:33:18,-,-,a confirmar (Basepex),,"Av. Fernando Stecca, 905 - IporangaSorocaba - SP, 18087-149",OK,NÃO,10/08/2026,SIM
Large Van Elétrica,EVM,JAC E-JV12,SSP20,Large Van Eletrica J750,Large Van Eletrica J750,CAAS - Ezvolt - Sorocaba,TAU2C21,23/04/2026,110,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",MANUTENÇÃO,INDISPONÍVEL,Troca de PNEUS,"Troca de pneus dianteiro da vans JAC iEV750

Placas: TAU2C21 

Pneus 225/75 R16
",04/08 veículo parado no estacionamento da TransManá em Itapetininga,OK,"R. Maria Plens, 92 - Jardim Bela Vista, Itapetininga - SP, 18207-730, Brasil",G96CMP20THJ0,03/08/2026,16:48:00,-,-,a confirmar (Basepex),,"R. Cinco, 901 - Jardim Bela Vista, Itapetininga - SP, 18208-284",NA OFICINA,NÃO,,NÃO
Utilitário Elétrico,Localiza,Kangoo Z.E. MAXI 2 Lugares 2P,SSP20,E-Utilitário Last Mile,E-Utilitário Last Mile,Portatil,SDQ2A87,23/07/2026,19,E-Utilitário Last Mile,"R$ 583,00","R$ 26,00",MANUTENÇÃO,INDISPONÍVEL,Preventiva,Troca do jogo de pneus da Kangoo elétrica (modelo do pneu 195/65 R16C),,OK,"R. Vicência Leonetti, 82 - Vila Espirito Santo, Sorocaba - SP, 18051-390, Brasil",G94N5F477H01,03/08/2026,08:15:36,Renault Valec - Sorocaba,(15) 2102-3200,a confirmar (Basepex),,,NA OFICINA,NÃO,,NÃO
Large Van Elétrica,EVM,JAC E-JV12,SSP27,Large Van Eletrica J750,Large Van Eletrica J750,Infra MLP,TAT1A63,10/08/2026,1,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",FOLGA,ATIVO,-,-,PROTOCOLO EVM20260714000009,OK,"R. Maria Plens, 92 - Jardim Bela Vista, Itapetininga - SP, 18207-730, Brasil",G91EWWW0XT2A,03/08/2026,18:59:14,-,-,11/ago./26,,,OK,,11/08,SIM
Large Van Elétrica,EVM,JAC E-JV12,SSP27,Large Van Eletrica J750,Large Van Eletrica J750,Infra MLP,TAT1A81,09/08/2026,2,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",RODOU,ATIVO,-,-,,OK,"R. Maria Plens, 92 - Jardim Bela Vista, Itapetininga - SP, 18207-730, Brasil",G9UBWF4NMP82,03/08/2026,19:09:40,-,-,11/ago./26,,,OK,,11/08,SIM
Van Elétrica,Localiza,E-Jumpy Furgão 2p,SSP27,Van Média Elétrica,Van Média Elétrica,Portatil,SEF1D60,13/06/2026,59,Van Média Elétrica,"R$ 735,00","R$ 35,00",MANUTENÇÃO,INDISPONÍVEL,"Veiculo não da nenhum sinal, ventoinha ficava ligada sem para","Carro voltou da oficina com o mesmo problema que foi, ventoinha continua ligada mesmo  com o veículo desligado e agora veículo não dá sinal nenhum e o carregador está plugado e não conseguimos retirar 
SEF1D60 ",Aguardando orçamento locadora,Offline,"Av. Dr. Ciro Albuquerque, 3184 - Centro, Itapetininga - SP, 18214-620, Brasil",G96D03MBX8Z3,19/06/2026,18:37:58,SANTA RITA CENTRO AUTOMOTIVO,15 3271-8892,a confirmar (Basepex),NÃO POSSUI,"Av. Dr. Ciro Albuquerque, 3184 - Centro, Itapetininga - SP, 18214-620, Brasil",PENDENTE,,,NÃO
Utilitário Elétrico,Localiza,Kangoo Z.E. MAXI 2 Lugares 2P,SSP27,E-Utilitário Last Mile,E-Utilitário Last Mile,Portatil,SDQ2A81,02/07/2026,40,E-Utilitário Last Mile,"R$ 583,00","R$ 26,00",MANUTENÇÃO,INDISPONÍVEL,"Troca das pastilhas , troca da homocinética, alinhamento e balanceamento","Troca das pastilhas , troca da homocinética, alinhamento e balanceamento",CONTATO COM A OFICINA - ALEXANDRA 16/07,OK,"Av. Dr. Ciro Albuquerque, 3184 - Centro, Itapetininga - SP, 18214-620, Brasil",G9UCMV9D61FF,03/08/2026,17:41:31,SANTA RITA CENTRO AUTOMOTIVO,15 3271-8892,a confirmar (Basepex),,"Av. Dr. Ciro Albuquerque, 3184 - Centro, Itapetininga - SP, 18214-620, Brasil",PENDENTE,,,NÃO
Large Van Elétrica,EVM,JAC E-JV12,SSP27,Large Van Eletrica J750,Large Van Eletrica J750,Infra MLP,TAT1A94,10/08/2026,1,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",FOLGA,ATIVO,-,-,,OK,"R. Indalécio Alves, 2 - Vila Itapetininga, Itapetininga - SP, 18207-845, Brasil",G9Z1SHS6JW6E,03/08/2026,18:51:09,-,-,11/ago./26,,,PENDENTE,,,SIM
Utilitário Elétrico,Localiza,Kangoo Z.E. MAXI 2 Lugares 2P,SSP27,E-Utilitário Last Mile,E-Utilitário Last Mile,Portatil,SDQ2A80,10/08/2026,1,E-Utilitário Last Mile,"R$ 583,00","R$ 26,00",FOLGA,ATIVO,-,-,,OK,"R. Seis, 66 - Vila Jose Salem, Itapetininga - SP, 18210-772, Brasil",G9RJ23F5FEFD,03/08/2026,17:50:23,-,-,11/ago./26,,,PENDENTE,,,SIM
Van Elétrica,Arval,JAC 5.5,SSP27,Van Elétrica JV,Van Elétrica JV,Infra MLP,TAS1I82,10/08/2026,1,Van Elétrica JV,"R$ 774,00","R$ 34,00",FOLGA,ATIVO,-,-,PROTOCOLO 22223730 ENVIADO EMAIL SOLICITANDO,OK,"R. Indalécio Alves, 2 - Vila Itapetininga, Itapetininga - SP, 18207-845, Brasil",G969PU9EY5P3,03/08/2026,13:23:17,-,-,11/ago./26,,,PENDENTE,,,SIM
Van Elétrica,Arval,JAC 5.5,SSP27,Van Elétrica JV,Van Elétrica JV,Infra MLP,TAT0B65,10/08/2026,1,Van Elétrica JV,"R$ 774,00","R$ 34,00",FOLGA,ATIVO,-,-,PROTOCOLO 22220232,OK,"R. Indalécio Alves, 2 - Vila Itapetininga, Itapetininga - SP, 18207-845, Brasil",G9V3ZNXRFMZS,03/08/2026,19:03:27,-,-,11/ago./26,,,PENDENTE,,,SIM
Van Elétrica,Arval,JAC 5.5,SSP27,Van Elétrica JV,Van Elétrica JV,Infra MLP,TAS1J12,09/08/2026,2,Van Elétrica JV,"R$ 774,00","R$ 34,00",RODOU,ATIVO,-,-,-,Offline,"R. Indalécio Alves, 621 - Parque Sao Bento, Itapetininga - SP, 18207-845, Brasil",G96XNP9SP128,03/08/2026,18:53:17,-,-,11/ago./26,NÃO POSSUI,,PENDENTE,,,SIM
Large Van Elétrica,EVM,JAC E-JV12,SSP27,Large Van Eletrica J750,Large Van Eletrica J750,Infra MLP,TAT1A53,09/08/2026,2,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",RODOU,ATIVO,-,-,,Offline,"R. Maria Plens, 82 - Jardim Bela Vista, Itapetininga - SP, 18207-730, Brasil",G9D5W0DSS6S6,03/08/2026,18:44:43,-,-,11/ago./26,NÃO POSSUI,,PENDENTE,,,SIM
Utilitário Elétrico,Localiza,Kangoo Z.E. MAXI 2 Lugares 2P,SSP27,E-Utilitário Last Mile,E-Utilitário Last Mile,Portatil,SDQ2A54,09/08/2026,2,E-Utilitário Last Mile,"R$ 583,00","R$ 26,00",RODOU,ATIVO,-,-,,OK,"R. Seis, 66 - Vila Jose Salem, Itapetininga - SP, 18210-772, Brasil",G92FBKDDRAAY,03/08/2026,19:08:56,-,-,11/ago./26,,,PENDENTE,,,SIM
Van Elétrica,Arval,JAC 5.5,SSP27,Van Elétrica JV,Van Elétrica JV,Infra MLP,TAS1H25,09/08/2026,2,Van Elétrica JV,"R$ 774,00","R$ 34,00",RODOU,ATIVO,-,-,,OK,"R. Indalécio Alves, 2 - Vila Itapetininga, Itapetininga - SP, 18207-845, Brasil",G9ECA9BM30UC,03/08/2026,19:10:15,-,-,11/ago./26,,,PENDENTE,,,SIM
Utilitário Elétrico,Localiza,Kangoo Z.E. MAXI 2 Lugares 2P,SSP27,E-Utilitário Last Mile,E-Utilitário Last Mile,Portatil,SDQ2A83,19/07/2026,23,E-Utilitário Last Mile,"R$ 583,00","R$ 26,00",MANUTENÇÃO,INDISPONÍVEL,Pane eletrica,"Sdq2a83 - pane elétrica durante a rota , já guinchada pela localiza - solicito veículo reserva",,OK,"R. Indalécio Alves, 2 - Vila Itapetininga, Itapetininga - SP, 18207-845, Brasil",G92SAW3M3MZ1,03/08/2026,18:20:05,SANTA RITA CENTRO AUTOMOTIVO,15 3271-8892,a confirmar (Basepex),,"Av. Dr. Ciro Albuquerque, 3184 - Centro, Itapetininga - SP, 18214-620, Brasil",PENDENTE,,,NÃO
Van Elétrica,Arval,JAC 5.5,SSP27,Van Elétrica JV,Van Elétrica JV,Infra MLP,TAS1I77,29/07/2026,13,Van Elétrica JV,"R$ 774,00","R$ 34,00",MANUTENÇÃO,INDISPONÍVEL,Troca de pneus,Troca de 2 pneus 195/70 aro 15,,OK,"Rod. Pres. Castello Branco, 3512, Sorocaba - SP, Brasil",G9YWX4VD7EMZ,03/08/2026,10:29:15,Della Via Pneus - Sorocaba - Truck Center,(080) 0555-3235,a confirmar (Basepex),,"R. Antônio Aparecido Ferraz, 2090 - Parque Santa Isabel, Sorocaba - SP, 18052-280, Brasil",PENDENTE,,,SIM
Large Van Elétrica,EVM,JAC E-JV12,SSP27,Large Van Eletrica J750,Large Van Eletrica J750,Infra MLP,TAT1A51,31/07/2026,11,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",MANUTENÇÃO,INDISPONÍVEL,Quebra do amortecedor dianteiro lado motorista ,Quebra do amortecedor dianteiro lado motorista ,,OK,"R. Indalécio Alves, 2 - Vila Itapetininga, Itapetininga - SP, 18207-845, Brasil",G97X2M68K6PZ,03/08/2026,18:30:03,SOLICITADO EVM ,-,a confirmar (Basepex),,"Parada no estacionamento TransManá em Itapetininga (Rua cinco, 901 - Jardim bela vista)",PENDENTE,,,SIM
Large Van Elétrica,Arval,E-Transit,SSP34,Large Van Elétrica - Equipe Única,Large Van Elétrica - Equipe Única,Infra MLP,TAQ7A78,08/08/2026,3,Large Van Elétrica - Equipe Única,"R$ 1.084,00","R$ 39,00",MANUTENÇÃO FINALIZADA,INDISPONÍVEL,ok,SINISTRO  - CARRETA BATEU NA VAN  NO RODOANEL no dia 20/12,"SINISTRO / 03/08/206 Deivid ira retirar o veiculo hj e levar para o nosso estacionamento e aguardar a retirada, para rodar amanha dia 04/05/2026 - / veiculo liberado dia 03/08/2026",OK,"R. Augusto de Almeida Batista, 193 - Chácaras São Marcos, Embu das Artes - SP, 06814-000, Brasil",G91URSD8NETV,03/08/2026,19:07:18,-,-,a confirmar (Basepex),,,OK,,10/08/2026,SIM
Large Van Elétrica,Arval,E-Transit,SSP34,Large Van Elétrica - Equipe Única,Large Van Elétrica - Equipe Única,Infra MLP,TAQ7A63,07/08/2026,4,Large Van Elétrica - Equipe Única,"R$ 1.084,00","R$ 39,00",FOLGA,ATIVO,-,-,PROTOCOLO 22221271,OK,"Rua Dom Pedro Henrique de Orleans e Bragança 75, SP, 05117-002, Brazil",G9A7USXZDRDF,03/08/2026,19:09:37,-,-,10/ago./26,,,OK,,10/08/2026,SIM
Large Van Elétrica,Arval,E-Transit,SSP34,Large Van Elétrica - Equipe Única,Large Van Elétrica - Equipe Única,Infra MLP,TAQ7A31,04/08/2026,7,Large Van Elétrica - Equipe Única,"R$ 1.084,00","R$ 39,00",RODOU,ATIVO,-,-,Só levar para concerto ,OK,"Agnaldo Ferreira Lopes, 12 - Parque Santa Amelia, Itapecerica da Serra - SP, 06852-845, Brasil",G9EZRH819KK0,03/08/2026,19:08:28,-,-,10/ago./26,,,OK,,10/08/2026,SIM
Large Van Elétrica,Arval,E-Transit,SSP34,Large Van Elétrica - Equipe Única,Large Van Elétrica - Equipe Única,Infra MLP,TAQ7A58,08/08/2026,3,Large Van Elétrica - Equipe Única,"R$ 1.084,00","R$ 39,00",RODOU,ATIVO,-,-,,OK,"Estr. Morro Grande, 840 - Parque Santa Rita de Cassia, Cotia - SP, 06700-650, Brasil",G9TRSKKCJ6WR,03/08/2026,19:10:08,-,-,10/ago./26,,,OK,,10/08/2026,SIM
