Categoria,Contrato,Modelo Titular,Operação ,Cadastro - Logistics,Cadastro como Deveria Ser,Modo de carga,Placa,Ultimo BIPE,Dias Sem BIPE,Cadastro,Valor Diária,Energia,STATUS DO FORMS,STATUS DO VEÍCULO,MOTIVO DA MANUTENÇÃO,DESCRIÇÃO DO PROBLEMA (+ recente),ATUALIZAÇÕES,STATUS GEOTAB,Ultima Localização,Nº DE SERIE GEOTAB,Ultima Localização,Horário,Oficina,Contato ,Previsão Desmobilização,TICKET MANUTENÇÃO ROTAGYN,Estacionamentos - veículos em manutenção,Devolução,Representante da Basepex,Data devolução,FORMS
Van Elétrica,Arval,JAC 5.5,SSP18,Van Elétrica JV,Van Elétrica JV,CAAS - Ezvolt - Jundiaí,TAO1A54,09/08/2026,2,Van Elétrica JV,"R$ 774,00","R$ 34,00",RODOU,ATIVO,-,-,,OK,"Av. Quatorze de Dezembro, 3060 - Vila Francisco Eber, Jundiaí - SP, 13206-105, Brasil",G9C4UA138559,03/08/2026,19:10:23,-,-,10/ago./26,,,PENDENTE,,,NÃO
Van Elétrica,Arval,JAC 5.5,SSP18,Van Elétrica JV,Van Elétrica JV,CAAS - Ezvolt - Jundiaí,TAO0J39,08/08/2026,3,Van Elétrica JV,"R$ 774,00","R$ 34,00",RODOU,ATIVO,-,-,,OK,"Av. Quatorze de Dezembro, 3060 - Vila Francisco Eber, Jundiaí - SP, 13206-105, Brasil",G9FSTPET0URF,03/08/2026,18:55:33,-,-,10/ago./26,,,PENDENTE,,,NÃO
Van Elétrica,Arval,JAC 5.5,SSP18,Van Elétrica JV,Van Elétrica JV,CAAS - Ezvolt - Jundiaí,TAO1A53,08/08/2026,3,Van Elétrica JV,"R$ 774,00","R$ 34,00",RODOU,ATIVO,-,-,,OK,"Av. Antônio Frederico Ozanan, 11100 - Distrito Industrial, Jundiaí - SP, 13213-100, Brasil",G92A2KBS73Z6,03/08/2026,19:08:23,-,-,10/ago./26,,,PENDENTE,,,NÃO
Van Elétrica,Arval,JAC 5.5,SSP18,Van Elétrica JV,Van Elétrica JV,Infra MLP,TAO1A56,07/08/2026,4,Van Elétrica JV,"R$ 774,00","R$ 34,00",RODOU,ATIVO,-,-,sem previsão,OK,"Av. Quatorze de Dezembro, 2176 - Jardim Cidapel, Jundiaí - SP, 13206-105, Brasil",G9XW8KJ7WS8M,03/08/2026,19:07:02,-,-,10/ago./26,,,PENDENTE,,,NÃO
Large Van Elétrica,Localiza,E-Transit,SSP18,Large Van Elétrica - Equipe Única - Localiza,Large Van Elétrica - Equipe Única - Localiza,CAAS - Ezvolt - Jundiaí,TAR1I93,09/08/2026,2,Large Van Elétrica - Equipe Única - Localiza,"R$ 1.033,00","R$ 39,00",RODOU,ATIVO,-,-,,OK,"Av. Antônio Frederico Ozanan, 11100 - Distrito Industrial, Jundiaí - SP, 13213-100, Brasil",G9JN3NCEFRPC,03/08/2026,18:43:00,-,-,10/ago./26,,,PENDENTE,,,NÃO
Large Van Elétrica,Localiza,E-Transit,SSP18,Large Van Elétrica - Equipe Única - Localiza,Large Van Elétrica - Equipe Única - Localiza,CAAS - Ezvolt - Jundiaí,TAR1I91,07/08/2026,4,Large Van Elétrica - Equipe Única - Localiza,"R$ 1.033,00","R$ 39,00",RODOU,ATIVO,-,-,,OK,"Av. Antônio Frederico Ozanan, 11000 - Distrito Industrial, Jundiaí - SP, 13213-030, Brasil",G9794BB7FJ0W,03/08/2026,19:08:56,-,-,10/ago./26,,,PENDENTE,,,NÃO
Van Elétrica,Arval,JAC 5.5,SSP18,Van Elétrica JV,Van Elétrica JV,CAAS - Ezvolt - Jundiaí,TAT0C30,08/08/2026,3,Van Elétrica JV,"R$ 774,00","R$ 34,00",RODOU,ATIVO,-,-,,OK,"Av. Antônio Frederico Ozanan, 11100 - Distrito Industrial, Jundiaí - SP, 13213-100, Brasil",G9X4B4VCFM9A,03/08/2026,18:58:42,-,-,10/ago./26,,,PENDENTE,,,NÃO
Large Van Elétrica,Localiza,E-Transit,SSP18,Large Van Elétrica - Equipe Única - Localiza,Large Van Elétrica - Equipe Única - Localiza,CAAS - Ezvolt - Jundiaí,TAR1I79,07/08/2026,4,Large Van Elétrica - Equipe Única - Localiza,"R$ 1.033,00","R$ 39,00",RODOU,ATIVO,-,-,AGUARDANDO APROVAÇÃO DE ORÇAMENTO,OK,"Av. Antônio Frederico Ozanan, 11000 - Distrito Industrial, Jundiaí - SP, 13213-030, Brasil",G9JTR21S957A,03/08/2026,19:04:48,-,-,10/ago./26,,,PENDENTE,,,NÃO
Van Elétrica,Arval,JAC 5.5,SSP18,Van Elétrica JV,Van Elétrica JV,Infra Interna,TAO1B40,08/08/2026,3,Van Elétrica JV,"R$ 774,00","R$ 34,00",RODOU,ATIVO,-,-,,OK,"Av. Antônio Frederico Ozanan, 11100 - Distrito Industrial, Jundiaí - SP, 13213-100, Brasil",G9B0R5P6B9NK,03/08/2026,19:02:09,-,-,10/ago./26,,,PENDENTE,,,NÃO
Van Elétrica,Arval,JAC 5.5,SSP18,Van Elétrica JV,Van Elétrica JV,Infra Interna,TAO1A58,08/08/2026,3,Van Elétrica JV,"R$ 774,00","R$ 34,00",RODOU,ATIVO,-,-,,OK,"Av. Antônio Frederico Ozanan, 11100 - Distrito Industrial, Jundiaí - SP, 13213-100, Brasil",G91ZVP7RD6PS,03/08/2026,18:53:00,-,-,10/ago./26,,,PENDENTE,,,NÃO
Van Elétrica,Arval,JAC 5.5,SSP18,Van Elétrica JV,Van Elétrica JV,Infra Interna,TAS1H42,08/08/2026,3,Van Elétrica JV,"R$ 774,00","R$ 34,00",RODOU,ATIVO,-,-,,OK,"Av. Antônio Frederico Ozanan, 11100 - Distrito Industrial, Jundiaí - SP, 13213-100, Brasil",G9BNSPRAHKJ9,03/08/2026,19:10:24,-,-,10/ago./26,,,PENDENTE,,,NÃO
